Site,Station,Pair_number,site_type,amplitude_dB_A,24_hrs,48_hrs,72_hrs,remaining,mean_removed,arcsine_sqrt_transformed,Camera_failure,Richness,Seed_Predation,LeastChipmunk,RockSquirrel,PeromyscusMouse,SylvilagusRabbit,SpottedTowhee,JuniperTitmouse,MourningDove,WesternScrubJay,WildTurkey,MuleDeer,CaliforniaJackrabbit,Richness
J13C,July13 C08,Ju13,C,41.5,20,20,20,20,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
J13C,July13 C09,Ju13,C,39.2,0,0,0,0,20,1.570796327,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
J13C,July13 C10,Ju13,C,40,20,1,0,7,13,0.93774449,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2
J21C,July21 C01,Ju21,C,40.9,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J21C,July21 C02,Ju21,C,43.8,0,20,19,13,7,0.633051836,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J21C,July21 C03,Ju21,C,40.3,0,9,0,3,17,1.173096912,0,3,0,0,1,1,0,0,0,0,1,0,0,0,3
J21C,July21 C04,Ju21,C,42.3,20,0,0,6.666666667,13.33333333,0.955316618,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J21C,July21 C05,Ju21,C,42.8,0,20,1,7,13,0.93774449,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2
J21C,July21 C06,Ju21,C,41.8,0,0,0,0,20,1.570796327,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2
J21C,July21 C07,Ju21,C,41.8,0,0,0,0,20,1.570796327,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2
J21C,July21 C08,Ju21,C,41.8,0,0,0,0,20,1.570796327,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J21C,July21 C09,Ju21,C,42.4,0,0,0,0,20,1.570796327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J21C,July21 C10,Ju21,C,41.8,20,0,0,6.666666667,13.33333333,0.955316618,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J08T,J08 T01,J08,T,51.1,15,0,0,5,15,1.047197551,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2
J08T,J08 T02,J08,T,45.5,20,14,0,11.33333333,8.666666667,0.718532369,0,3,1,0,0,1,1,1,0,0,0,0,0,0,3
J08T,J08 T03,J08,T,45.7,20,0,0,6.666666667,13.33333333,0.955316618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J08T,J08 T04,J08,T,50.2,0,0,0,0,20,1.570796327,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J08T,J08 T05,J08,T,51.5,1,0,0,0.333333333,19.66666667,1.441335556,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J08T,J08 T06,J08,T,52.8,20,1,1,7.333333333,12.66666667,0.920364561,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
J08T,J08 T07,J08,T,44.3,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J08T,J08 T08,J08,T,48,8,5,2,5,15,1.047197551,0,2,1,0,0,1,0,0,0,1,0,0,0,0,2
J08T,J08 T09,J08,T,47,14,0,0,4.666666667,15.33333333,1.066666285,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J08T,J08 T10,J08,T,61,0,0,0,0,20,1.570796327,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J15T,J15 T01,J15,T,42.2,0,0,1,0.333333333,19.66666667,1.441335556,0,4,1,1,0,1,0,1,1,0,0,0,0,0,4
J15T,J15 T02,J15,T,43.1,0,0,0,0,20,1.570796327,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J15T,J15 T03,J15,T,41.9,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J15T,J15 T04,J15,T,49.3,0,3,0,1,19,1.345282921,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J15T,J15 T05,J15,T,49.3,0,0,6,2,18,1.249045772,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2
J15T,J15 T06,J15,T,54.8,0,7,0,2.333333333,17.66666667,1.22221476,0,3,1,0,0,1,0,0,1,1,0,0,0,0,3
J15T,J15 T07,J15,T,45.1,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J15T,J15 T08,J15,T,51.5,15,0,0,5,15,1.047197551,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2
J15T,J15 T09,J15,T,46,0,0,0,0,20,1.570796327,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J15T,J15 T10,J15,T,41.1,20,11,0,10.33333333,9.666666667,0.768728409,0,3,1,0,0,1,0,0,1,1,0,0,0,0,3
J22T,J22 T01,J22,T,54.8,1,0,0,0.333333333,19.66666667,1.441335556,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J22T,J22 T02,J22,T,55.9,20,0,0,6.666666667,13.33333333,0.955316618,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2
J22T,J22 T03,J22,T,51.3,6,12,18,12,8,0.684719203,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2
J22T,J22 T04,J22,T,54.9,20,0,0,6.666666667,13.33333333,0.955316618,0,3,1,0,1,1,0,1,0,0,0,0,0,0,3
J22T,J22 T05,J22,T,46.8,19,20,20,19.66666667,0.333333333,0.129460771,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
J22T,J22 T06,J22,T,46.9,20,15,0,11.66666667,8.333333333,0.701674124,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J22T,J22 T07,J22,T,49.2,0,20,20,13.33333333,6.666666667,0.615479709,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J22T,J22 T08,J22,T,44.4,19,20,0,13,7,0.633051836,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J22T,J22 T09,J22,T,48,17,0,1,6,14,0.991156586,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J22T,J22 T10,J22,T,48.4,20,0,0,6.666666667,13.33333333,0.955316618,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J29T,J29 T01,J29,T,59,1,1,0,0.666666667,19.33333333,1.387192316,0,3,0,1,0,1,0,1,0,0,0,0,0,0,3
J29T,J29 T02,J29,T,57.9,0,0,0,0,20,1.570796327,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J29T,J29 T03,J29,T,57.1,20,20,0,13.33333333,6.666666667,0.615479709,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J29T,J29 T04,J29,T,55.2,19,20,20,19.66666667,0.333333333,0.129460771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J29T,J29 T05,J29,T,60.6,0,0,0,0,20,1.570796327,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J29T,J29 T06,J29,T,62.3,20,20,1,13.66666667,6.333333333,0.597686359,0,2,1,0,0,1,0,0,0,0,0,1,0,0,2
J29T,J29 T07,J29,T,62.1,0,0,5,1.666666667,18.33333333,1.277953555,0,2,1,0,0,0,0,1,0,0,0,1,0,0,2
J29T,J29 T08,J29,T,57.6,20,20,0,13.33333333,6.666666667,0.615479709,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J29T,J29 T09,J29,T,64.1,20,0,0,6.666666667,13.33333333,0.955316618,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2
J29T,J29 T10,J29,T,58.7,8,20,1,9.666666667,10.33333333,0.802067918,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
J13T,July13 T01,Ju13,T,42.1,0,0,0,0,20,1.570796327,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J13T,July13 T02,Ju13,T,41,20,10,20,16.66666667,3.333333333,0.420534335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J13T,July13 T03,Ju13,T,43.6,0,10,8,6,14,0.991156586,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J13T,July13 T04,Ju13,T,59,20,10,12,14,6,0.57963974,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
J13T,July13 T05,Ju13,T,58.7,11,20,17,16,4,0.463647609,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
J13T,July13 T06,Ju13,T,47.7,14,10,0,8,12,0.886077124,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2
J13T,July13 T07,Ju13,T,51.6,10,0,8,6,14,0.991156586,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2
J13T,July13 T08,Ju13,T,39.5,20,18,20,19.33333333,0.666666667,0.18360401,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2
J13T,July13 T09,Ju13,T,40.7,8,0,0,2.666666667,17.33333333,1.197004152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J13T,July13 T10,Ju13,T,46.4,8,10,20,12.66666667,7.333333333,0.650431765,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J21T,July21 T01,Ju21,T,54.9,19,0,0,6.333333333,13.66666667,0.973109968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J21T,July21 T02,Ju21,T,57.6,14,0,0,4.666666667,15.33333333,1.066666285,0,4,1,0,0,1,1,1,1,0,0,0,0,0,4
J21T,July21 T03,Ju21,T,52.1,20,0,0,6.666666667,13.33333333,0.955316618,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J21T,July21 T04,Ju21,T,68.1,0,0,0,0,20,1.570796327,0,4,1,0,1,1,1,1,0,0,0,0,0,0,4
J21T,July21 T05,Ju21,T,56.7,0,0,0,0,20,1.570796327,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2
J21T,July21 T06,Ju21,T,55.6,1,0,0,0.333333333,19.66666667,1.441335556,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J21T,July21 T07,Ju21,T,50.6,20,0,0,6.666666667,13.33333333,0.955316618,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
J21T,July21 T08,Ju21,T,52.9,10,20,0,10,10,0.785398163,0,2,1,0,0,1,1,0,0,0,0,0,0,0,2
J21T,July21 T09,Ju21,T,53.4,8,12,4,8,12,0.886077124,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
J21T,July21 T10,Ju21,T,50.4,0,0,0,0,20,1.570796327,0,3,1,1,0,1,1,0,0,0,0,0,0,0,3
